,,,success_auc,success_auc,success_auc,success_auc,final_success,final_success,final_success,final_success,frames_to_50,frames_to_50,frames_to_50,frames_to_50,frames_to_90,frames_to_90,frames_to_90,frames_to_90,first_success_step,first_success_step,first_success_step,first_success_step,wall_time_s,wall_time_s,wall_time_s,wall_time_s,final_entropy,final_entropy,final_entropy,final_entropy,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae
,,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
env_tag,beta,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorkey6x6,0.25,distill,0.5488844011715162,0.570990902017422,0.05361376123642549,5,1.0,1.0,0.0,5,4784.0,117900.8,157312.96924030135,5,4784.0,176310.4,241326.8656341436,5,4784.0,5945.6,4250.531825548422,5,1196.4,1168.02,170.8794224007092,5,0.8098431061953306,0.7375809071585536,0.254062161416442,5,0.1601930656308904,0.1862245577959292,0.09003810002271671,5,,,,0
doorkey6x6,0.25,queried,0.4397198402571822,0.4667322790544152,0.05912959886828007,5,0.99,0.968,0.05540758070878028,5,3744.0,133036.8,178698.20364849782,5,3744.0,243939.2,336743.9437246051,5,3744.0,6403.2,5607.142873157416,5,1201.6,1174.3799999999999,162.65208882765683,5,1.5427609868347645,1.2910579390823842,0.48718761745673383,5,0.0399173663867785,0.0829363492698158,0.06449591286413477,5,,,,0
doorkey6x6,0.75,distill,0.6341419622378118,0.6397955526840887,0.06058441928067249,5,1.0,0.998,0.004472135954999567,5,4784.0,119584.0,159618.6764009776,5,4784.0,156137.6,211990.10349730952,5,4784.0,5945.6,4250.531825548422,5,1192.4,1172.46,162.1789844585296,5,0.5190979968756437,0.5072124466300011,0.10778444619225584,5,0.2214161954265912,0.24415947906551655,0.06189660982460351,5,,,,0
doorkey6x6,0.75,queried,0.5472378020117405,0.5349436385903632,0.0486036727490657,5,1.0,1.0,0.0,5,4400.0,147936.0,199256.9062491938,5,4400.0,186755.2,252313.49373983152,5,4400.0,10179.2,13232.935396199891,5,1181.9,1147.68,147.428904899955,5,0.7840527016669512,0.7823842737823725,0.19841806920337357,5,0.1901144304183088,0.1781573085051693,0.0569719641255646,5,,,,0
doorkey6x6,1.5,distill,0.6330992237539081,0.6407572593507554,0.0634020994262942,5,1.0,1.0,0.0,5,4784.0,97523.2,129833.70059888149,5,4784.0,130278.4,174253.14058805368,5,4784.0,5945.6,4250.531825548422,5,1194.4,1159.8,156.60312895980067,5,0.2918351925909519,0.3633128979243338,0.11120959795449888,5,0.2848955655832905,0.27602673216427714,0.08315076092419985,5,,,,0
doorkey6x6,1.5,queried,0.6663688164782232,0.6190548591787024,0.0961126073562217,5,1.0,0.9960000000000001,0.008944271909999175,5,3840.0,117820.8,159451.85441129244,5,3840.0,165049.6,226593.0474767485,5,3840.0,5980.8,4786.426140660691,5,1195.6,1150.92,161.1468026366022,5,0.5944694001227617,0.8359145671129227,0.47291351900125644,5,0.2487100397936063,0.23078197292511562,0.12852491540795857,5,,,,0
redbluedoors6x6,0.25,distill,0.3540082332530954,0.2705734707758412,0.1981174816079203,5,1.0,0.784,0.4292784644027697,5,685760.0,703496.0,150505.21227740476,4,758080.0,781048.0,155544.45267296847,4,11344.0,10428.8,5845.65643875861,5,3935.2,4046.8199999999997,678.9407757676659,5,0.125774041051045,0.5697510461555793,0.6838392026696072,5,0.3142957102873137,0.23649111783857885,0.17927287125583602,5,,,,0
redbluedoors6x6,0.25,queried,0.3328548017651919,0.3020262935404049,0.19502769532236947,5,0.99,0.782,0.43842901363846803,5,691264.0,663024.0,137461.24601016342,4,764808.0,729976.0,142040.23497586872,4,11344.0,9644.8,4502.548966974152,5,4206.1,4087.28,855.0946011991888,5,0.1961022135801613,0.41754888743162155,0.5995562998024181,5,0.2541626206660193,0.23736362597818011,0.15676826065233906,5,,,,0
