,,success_auc,success_auc,success_auc,success_auc,final_success,final_success,final_success,final_success,frames_to_50,frames_to_50,frames_to_50,frames_to_50,frames_to_90,frames_to_90,frames_to_90,frames_to_90,first_success_step,first_success_step,first_success_step,first_success_step,wall_time_s,wall_time_s,wall_time_s,wall_time_s,final_entropy,final_entropy,final_entropy,final_entropy,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_reward_coverage,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae,mean_cf_corr_gae
,,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count,median,mean,std,count
env_tag,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doorkey6x6,active,0.6044211111092963,0.6067586949912137,0.08632369019483252,3,1.0,1.0,0.0,3,4784.0,75066.66666666667,122968.43102737113,3,4784.0,122181.33333333333,204572.6052171535,3,4784.0,5925.333333333333,3288.0811020005776,3,1192.8,1391.2333333333333,381.72053040586303,3,0.7149884942919016,0.7945239820207158,0.40082087251263443,3,0.3272214923554388,0.3276340257547774,0.04122315475754863,3,,,,0
doorkey6x6,uncertainty,0.6439630844426296,0.6413948549912137,0.028723470527294567,3,1.0,1.0,0.0,3,4784.0,83482.66666666667,137545.1521695088,3,4784.0,119914.66666666667,200646.64763043844,3,4784.0,5925.333333333333,3288.0811020005776,3,1253.2,1303.5,141.14046195191503,3,0.4929912993684411,0.5288323238492012,0.11629876982738317,3,0.235858037737286,0.24206190539657146,0.011285552584154389,3,,,,0
doorkey6x6,uniform,0.6048799108735757,0.5207158861023248,0.16445928981488517,3,1.0,0.9966666666666667,0.005773502691896279,3,4784.0,109109.33333333333,181931.39125871967,3,4784.0,130218.66666666667,218493.59596412277,3,4784.0,5925.333333333333,3288.0811020005776,3,1263.1,1326.0666666666666,198.19915068771945,3,0.5282629076391459,0.7846780307590961,0.6106325522785861,3,0.1860208297633327,0.16089754574360723,0.11867437441203695,3,,,,0
redbluedoors6x6,active,0.0847955112186203,0.20555428274085574,0.2705790348651015,3,0.34,0.4466666666666667,0.5084617324178226,3,486464.0,486464.0,,1,642672.0,642672.0,,1,5168.0,7237.333333333333,3893.011858873966,3,5099.6,4771.833333333333,817.7930932291697,3,1.0906932428479197,0.7804850855997453,0.5821288558332439,3,0.0402053464328553,0.14748862359817966,0.21890518712174062,3,,,,0
redbluedoors6x6,uncertainty,0.0621565437508515,0.12576436274085576,0.14963559285770164,3,0.32,0.44,0.5106858133921481,3,767072.0,767072.0,,1,834560.0,834560.0,,1,5168.0,7237.333333333333,3893.011858873966,3,5177.9,6264.5,2717.3415887591314,3,0.3683814173564315,0.5492462931821743,0.4980102944890317,3,0.0369709259153481,0.11091277774604437,0.15597944131149502,3,,,,0
redbluedoors6x6,uniform,0.0395599037508515,0.1890118294075224,0.27107869579958466,3,0.05,0.35000000000000003,0.5634713834792322,3,541840.0,541840.0,,1,620656.0,620656.0,,1,5168.0,7237.333333333333,3893.011858873966,3,5104.0,5187.766666666666,182.30524768457244,3,0.820118160918355,0.7076816765669113,0.609017706315773,3,0.0103530016564802,0.15407646465223426,0.2507006801561239,3,,,,0
taxi,active,0.3691814925847559,0.3642050622348784,0.032890663885134175,3,0.63,0.6466666666666666,0.10598742063723096,3,471424.0,473002.6666666667,18706.027834185785,3,,,,0,8848.0,21861.333333333332,25132.477580480067,3,449.7,484.8,96.27476304826725,3,0.5226059760898352,0.5737382428099712,0.12075045334413292,3,1.0,1.0,0.0,3,,,,0
taxi,uncertainty,0.4453417741198792,0.44167900890154504,0.10975203504993165,3,0.78,0.7133333333333334,0.1607275126832159,3,420992.0,417594.6666666667,56149.13703106517,3,584928.0,584928.0,,1,8848.0,21861.333333333332,25132.477580480067,3,444.1,464.93333333333334,71.75530177856777,3,0.2600748231634497,0.3514852571922043,0.29277273664625064,3,1.0,1.0,0.0,3,,,,0
taxi,uniform,0.3527607725847559,0.3217693289015451,0.14542670823471485,3,0.68,0.5866666666666668,0.2437895267096873,3,520544.0,569829.3333333334,194649.30209310623,3,,,,0,8848.0,21861.333333333332,25132.477580480067,3,447.9,482.90000000000003,95.72559741260434,3,0.7791369073092937,0.7696584761142731,0.3516692495879669,3,1.0,1.0,0.0,3,,,,0
unlockpickup,active,0.7326594666666668,0.7237708977777778,0.04871638047373907,3,1.0,0.9966666666666667,0.0057735026918962545,3,393312.0,406848.0,80695.99167244927,3,424592.0,437456.0,71307.63280322801,3,78112.0,82272.0,29500.806768629227,3,4469.0,4673.433333333333,446.8218921822577,3,0.8089770674705505,0.7526896155128876,0.13596622441737502,3,0.5721758915481425,0.5671747174146214,0.04950818334842572,3,,,,0
unlockpickup,uncertainty,0.55811264,0.5617374755555556,0.15058213848134333,3,0.98,0.98,0.010000000000000009,3,644208.0,647888.0,226342.4379121158,3,701040.0,685866.6666666666,232827.1128312451,3,63568.0,63642.666666666664,8608.242871418843,3,6317.5,7212.566666666666,1887.693749879289,3,0.6689698211848736,0.7041071696827809,0.2062051242698233,3,0.3312960530073685,0.2978840209947767,0.060964035526424924,3,,,,0
unlockpickup,uniform,0.6549056,0.6507059733333334,0.027965111297195606,3,0.99,0.9899999999999999,0.010000000000000009,3,505056.0,515237.3333333333,43643.94800351284,3,545312.0,558085.3333333334,53562.73888939339,3,68848.0,71162.66666666667,17364.094140879715,3,5481.1,6516.333333333333,2101.9401426618533,3,0.5943011585623026,0.6096812272444367,0.09306961363631533,3,0.5637935302069649,0.5516777416017721,0.024529483055765626,3,,,,0
