stage,group,env_tag,algo_tag,seed,run_name,env_id,config_source,pg_mode,alpha_gae,alpha_cf,cf_horizon,cf_subsample,cf_branch_budget,total_timesteps,wall_time_s,n_episodes,first_success_step,out_dir,finished_at,git_sha,final_success,n_success_episodes,success_auc,frames_to_50,frames_to_90,final_subgoal1,final_subgoal2,final_return_100,final_length_100,final_entropy,final_approx_kl,final_clipfrac,final_explained_variance,final_pg_loss,final_v_loss,final_sps,mean_cf_centering,final_cf_centering,mean_cf_mean_abs,final_cf_mean_abs,mean_cf_corr_gae,final_cf_corr_gae,mean_cf_frac_states,final_cf_frac_states,mean_cf_reward_coverage,final_cf_reward_coverage,mean_cf_terminated_within_horizon,final_cf_terminated_within_horizon,mean_cf_frac_states_any_reward,final_cf_frac_states_any_reward,mean_cf_n_cf_states,final_cf_n_cf_states
EXP1_DK6,cf,doorkey6x6,ppo-cf,0,exp1_dk6_cf,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,cf_all_action,1.0,0.5,16,0.1,3.2,750000,3738.8,14433,13328,runs/exp1_dk6_cf/seed_0,2026-09-10T01:06:58+0800,c7f5f8c,1.0,13619,0.6491129242396138,277680.0,338944.0,1.0,1.0,0.958425,16.63,0.6140308640897274,0.0194771874057551,0.14013671875,0.706712704614824,-0.0190019354049582,0.0004349199061834,200.0,2.126793606169838e-06,6.973743438720703e-06,0.3441084909349517,0.6857631206512451,0.12071154247089913,0.3378981649875641,0.10009765625,0.10009765625,0.254144056663049,0.7996515679442509,0.254144056663049,0.7996515679442509,0.36004264960682386,0.9804878048780488,205.0,205.0
EXP1_DK6,cf,doorkey6x6,ppo-cf,1,exp1_dk6_cf,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,cf_all_action,1.0,0.5,16,0.1,3.2,750000,3047.9,12384,3360,runs/exp1_dk6_cf/seed_1,2026-09-10T00:55:26+0800,c7f5f8c,1.0,11375,0.5665207573000763,3360.0,3360.0,1.0,1.0,0.9575,17.0,0.5860555544495583,0.0201001367923936,0.1368408203125,0.6637841945271579,-0.011073802714236,0.0006609410593227,246.0,1.845217699389496e-06,4.856683517573401e-06,0.3603616350946205,0.6326678395271301,0.11911240756979892,0.1742588281631469,0.10009765625,0.10009765625,0.20332438453190152,0.6871080139372823,0.20332438453190152,0.6871080139372823,0.3034786085565774,0.8682926829268293,205.0,205.0
EXP1_DK6,cf,doorkey6x6,ppo-cf,2,exp1_dk6_cf,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,cf_all_action,1.0,0.5,16,0.1,3.2,750000,3831.8,16493,5744,runs/exp1_dk6_cf/seed_2,2026-09-10T01:08:31+0800,c7f5f8c,1.0,15641,0.6227425778177815,5744.0,5744.0,1.0,1.0,0.96205,15.18,0.5243211183696985,0.0154193630617101,0.1103515625,0.7957568092549397,-0.0095724700659047,0.0003049404613193,195.0,2.5403147755057773e-06,7.964670658111572e-06,0.39548137979429276,0.7645636200904846,0.12210947912010807,0.354194313287735,0.10009765625,0.10009765625,0.28742978998876634,0.8473867595818816,0.28742978998876634,0.8473867595818816,0.3912834866053579,0.9560975609756096,205.0,205.0
EXP1_DK6,cf,doorkey6x6,ppo-cf,3,exp1_dk6_cf,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,cf_all_action,1.0,0.5,16,0.1,3.2,750000,3767.9,19381,21344,runs/exp1_dk6_cf/seed_3,2026-09-10T01:07:27+0800,c7f5f8c,1.0,18697,0.7113471601963657,218176.0,323008.0,1.0,1.0,0.96025,15.9,0.6366540528833866,0.0278052471501837,0.130126953125,0.7843398869451725,-0.0224631025012058,0.0005645749488394,199.0,2.8319468682902533e-06,4.843808710575104e-06,0.3865613994376907,0.4736009836196899,0.1301236727021767,0.2734022140502929,0.10009765625,0.10009765625,0.34168618266978923,0.8170731707317073,0.34168618266978923,0.8170731707317073,0.4557110489137679,0.8975609756097561,205.0,205.0
EXP1_DK6,cf,doorkey6x6,ppo-cf,4,exp1_dk6_cf,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,cf_all_action,1.0,0.5,16,0.1,3.2,750000,3659.4,14020,944,runs/exp1_dk6_cf/seed_4,2026-09-10T01:05:44+0800,c7f5f8c,1.0,13062,0.6186028914979883,944.0,944.0,1.0,1.0,0.964175,14.33,0.4755640691146254,0.0150582623030288,0.1119384765625,0.8102891901677804,-0.0133078929211478,0.0002478258411429,205.0,2.3080245729863753e-06,9.592855349183084e-06,0.37801073833567195,0.932313859462738,0.11558422661396608,0.2055786401033401,0.10009765625,0.10009765625,0.240343862455018,0.8912891986062718,0.240343862455018,0.8912891986062718,0.33909103025456483,0.9804878048780488,205.0,205.0
EXP1_DK6,gae,doorkey6x6,ppo,0,exp1_dk6_gae,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,gae,1.0,0.5,16,0.1,3.2,750000,473.3,8940,10592,runs/exp1_dk6_gae/seed_0,2026-09-10T00:12:32+0800,c7f5f8c,1.0,7800,0.49915461751201906,384800.0,474592.0,1.0,1.0,0.9516,19.36,0.7968817371875048,0.0120175820920849,0.1187744140625,0.7142199753760048,-0.0102327391359722,0.0006648359558312,1600.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_DK6,gae,doorkey6x6,ppo,1,exp1_dk6_gae,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,gae,1.0,0.5,16,0.1,3.2,750000,297.8,13424,3360,runs/exp1_dk6_gae/seed_1,2026-09-10T00:09:36+0800,c7f5f8c,1.0,12527,0.6351605281575115,3360.0,3360.0,1.0,1.0,0.955,18.0,0.8424983434379101,0.0136775996143114,0.1162109375,0.4592777232783745,-0.008768638188485,0.0009478520532866,2548.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_DK6,gae,doorkey6x6,ppo,2,exp1_dk6_gae,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,gae,1.0,0.5,16,0.1,3.2,750000,282.6,6003,4784,runs/exp1_dk6_gae/seed_2,2026-09-10T00:09:21+0800,c7f5f8c,0.99,4693,0.4231897892095388,4784.0,4784.0,1.0,1.0,0.9326000000000001,26.56,1.0321262069046495,0.0148312212404562,0.1767578125,0.6296649176729555,-0.0161532934871502,0.0010867222845263,2687.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_DK6,gae,doorkey6x6,ppo,3,exp1_dk6_gae,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,gae,1.0,0.5,16,0.1,3.2,750000,491.7,14967,11008,runs/exp1_dk6_gae/seed_3,2026-09-10T00:12:51+0800,c7f5f8c,1.0,14071,0.6004278332664387,303456.0,399328.0,1.0,1.0,0.9572749999999999,17.09,0.6601132228970528,0.012759802135406,0.114990234375,0.69875457886765,-0.0087348023371305,0.0006225933839232,1539.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_DK6,gae,doorkey6x6,ppo,4,exp1_dk6_gae,MiniGrid-DoorKey-6x6-v0,doorkey6x6_cf,gae,1.0,0.5,16,0.1,3.2,750000,485.3,3447,944,runs/exp1_dk6_gae/seed_4,2026-09-10T00:12:44+0800,c7f5f8c,1.0,1881,0.30467832117151616,944.0,944.0,1.0,1.0,0.868625,52.55,1.5596967115998268,0.0082173484115628,0.1005859375,0.6228410827230098,-0.0079844189458526,0.0041276422998635,1559.0,,,,,,,0.0,0.0,,,,,,,,
