stage,group,env_tag,algo_tag,seed,run_name,env_id,config_source,pg_mode,alpha_gae,alpha_cf,cf_horizon,cf_subsample,cf_branch_budget,total_timesteps,wall_time_s,n_episodes,first_success_step,out_dir,finished_at,git_sha,final_success,n_success_episodes,success_auc,frames_to_50,frames_to_90,final_subgoal1,final_subgoal2,final_return_100,final_length_100,final_entropy,final_approx_kl,final_clipfrac,final_explained_variance,final_pg_loss,final_v_loss,final_sps,mean_cf_centering,final_cf_centering,mean_cf_mean_abs,final_cf_mean_abs,mean_cf_corr_gae,final_cf_corr_gae,mean_cf_frac_states,final_cf_frac_states,mean_cf_reward_coverage,final_cf_reward_coverage,mean_cf_terminated_within_horizon,final_cf_terminated_within_horizon,mean_cf_frac_states_any_reward,final_cf_frac_states_any_reward,mean_cf_n_cf_states,final_cf_n_cf_states
EXP1_LAVAGAP,cf,lavagap,ppo-cf,0,exp1_lavagap_cf,MiniGrid-LavaGapS6-v0,lavagap_cf,cf_all_action,1.0,0.5,16,0.1,3.2,500000,1592.8,29835,3600,runs/exp1_lavagap_cf/seed_0,2026-09-10T01:35:12+0800,c7f5f8c,1.0,26616,0.7559783145209035,75824.0,140112.0,0.0,0.0,0.945625,8.7,0.040229830192402,0.0062813514687185,0.027587890625,0.46493602452159,-0.0055865975300548,0.0002191824219153,314.0,2.892877483966421e-06,9.415336535312235e-06,1.0722225629648223,3.663839340209961,0.1525487714186101,0.2553545236587524,0.10009765625,0.10009765625,0.4678471468555435,0.886411149825784,0.5552493288398924,0.9390243902439024,0.6785685725709716,1.0,205.0,205.0
EXP1_LAVAGAP,cf,lavagap,ppo-cf,1,exp1_lavagap_cf,MiniGrid-LavaGapS6-v0,lavagap_cf,cf_all_action,1.0,0.5,16,0.1,3.2,500000,2741.3,3779,2176,runs/exp1_lavagap_cf/seed_1,2026-09-10T01:54:21+0800,c7f5f8c,0.0,7,0.0014428921449439094,,,0.0,0.0,0.0,141.97,1.350083328783512,0.006511729396152,0.0716552734375,0.4627017229177088,-0.0072032369789667,8.872195515152725e-06,182.0,8.028096611970334e-07,1.1227093636989594e-06,0.6274458748273185,0.4582989513874054,0.06821757019974566,0.1654503792524337,0.10009765625,0.10009765625,0.000125664020106241,0.0,0.029145484663277498,0.0439024390243902,0.0006397441023590557,0.0,205.0,205.0
EXP1_LAVAGAP,cf,lavagap,ppo-cf,2,exp1_lavagap_cf,MiniGrid-LavaGapS6-v0,lavagap_cf,cf_all_action,1.0,0.5,16,0.1,3.2,500000,1910.4,40134,1664,runs/exp1_lavagap_cf/seed_2,2026-09-10T01:40:30+0800,c7f5f8c,0.99,37525,0.8393134653305699,74720.0,105056.0,0.0,0.0,0.9333125,9.08,0.0893565618898719,0.0131175014518586,0.032958984375,0.1754788025673165,0.0153597999596968,0.0090189547481713,262.0,4.420075835368465e-06,1.6955427781795152e-06,1.5441533259925295,0.6828187108039856,0.15899083695420232,0.1236214488744735,0.10009765625,0.10009765625,0.6362312217969953,0.8477351916376307,0.7173873307819728,0.8993031358885017,0.8151139544182328,1.0,205.0,205.0
EXP1_LAVAGAP,cf,lavagap,ppo-cf,3,exp1_lavagap_cf,MiniGrid-LavaGapS6-v0,lavagap_cf,cf_all_action,1.0,0.5,16,0.1,3.2,500000,1799.3,39305,576,runs/exp1_lavagap_cf/seed_3,2026-09-10T01:38:39+0800,c7f5f8c,1.0,36974,0.8704041997599113,55664.0,92992.0,0.0,0.0,0.9369999999999998,10.08,0.0920354425907135,0.0245958867365825,0.060302734375,0.5728806946410129,0.0022065429511712,0.0010544336728344,278.0,3.2752205179647597e-06,5.242352926870808e-06,1.0420702648211697,1.5613442659378052,0.17563101220646965,0.3151221871376037,0.10009765625,0.10009765625,0.6456217512994802,0.7968641114982579,0.7154852344776376,0.8351916376306621,0.8224310275889644,0.9902439024390244,205.0,205.0
EXP1_LAVAGAP,cf,lavagap,ppo-cf,4,exp1_lavagap_cf,MiniGrid-LavaGapS6-v0,lavagap_cf,cf_all_action,1.0,0.5,16,0.1,3.2,500000,1796.7,43001,768,runs/exp1_lavagap_cf/seed_4,2026-09-10T01:38:37+0800,c7f5f8c,1.0,40227,0.8683611494554441,54528.0,94800.0,0.0,0.0,0.9464374999999999,8.57,0.0437135024112649,0.0022861055808198,0.0303955078125,0.3908756889605471,-0.0099764206970576,0.0003639813921836,279.0,4.010034804643331e-06,8.92358184501063e-06,1.4437916877328372,4.014068126678467,0.1831900560574751,0.4606465697288513,0.10009765625,0.10009765625,0.6612098017935683,0.8853658536585366,0.7490146798423488,0.9442508710801394,0.846061575369852,1.0,205.0,205.0
EXP1_LAVAGAP,gae,lavagap,ppo,0,exp1_lavagap_gae,MiniGrid-LavaGapS6-v0,lavagap_cf,gae,1.0,0.5,16,0.1,3.2,500000,308.5,31529,3600,runs/exp1_lavagap_gae/seed_0,2026-09-10T01:13:48+0800,c7f5f8c,1.0,28225,0.797724864578936,82912.0,119888.0,0.0,0.0,0.9445625,8.87,0.0496436762623488,0.0070218382097664,0.0323486328125,0.1025252521682915,-0.0049834592791739,0.0007416032040055,1647.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_LAVAGAP,gae,lavagap,ppo,1,exp1_lavagap_gae,MiniGrid-LavaGapS6-v0,lavagap_cf,gae,1.0,0.5,16,0.1,3.2,500000,198.9,12632,2176,runs/exp1_lavagap_gae/seed_1,2026-09-10T01:11:58+0800,c7f5f8c,0.92,7330,0.26545988668720527,367136.0,419504.0,0.0,0.0,0.8575625000000001,13.49,0.3064176747575402,0.0422254988952772,0.113525390625,0.1010322451050916,-0.0110494437685702,0.0127881538064684,2636.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_LAVAGAP,gae,lavagap,ppo,2,exp1_lavagap_gae,MiniGrid-LavaGapS6-v0,lavagap_cf,gae,1.0,0.5,16,0.1,3.2,500000,329.6,34005,1664,runs/exp1_lavagap_gae/seed_2,2026-09-10T01:14:09+0800,c7f5f8c,0.96,30315,0.8052583115660535,91120.0,153824.0,0.0,0.0,0.8730625,14.48,0.117733399849385,0.0153928860090672,0.06982421875,0.0850046504923344,0.0088403783447574,0.0069690465606981,1537.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_LAVAGAP,gae,lavagap,ppo,3,exp1_lavagap_gae,MiniGrid-LavaGapS6-v0,lavagap_cf,gae,1.0,0.5,16,0.1,3.2,500000,329.2,36102,576,runs/exp1_lavagap_gae/seed_3,2026-09-10T01:14:09+0800,c7f5f8c,0.99,32833,0.8374688488977458,54992.0,91728.0,0.0,0.0,0.9365000000000001,8.62,0.0709299341542646,0.0280214217564207,0.0440673828125,-0.1181425252612435,-0.0078351978445425,0.0050191656482638,1539.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_LAVAGAP,gae,lavagap,ppo,4,exp1_lavagap_gae,MiniGrid-LavaGapS6-v0,lavagap_cf,gae,1.0,0.5,16,0.1,3.2,500000,321.5,28525,768,runs/exp1_lavagap_gae/seed_4,2026-09-10T01:14:02+0800,c7f5f8c,0.86,24737,0.7516304320984374,50208.0,83424.0,0.0,0.0,0.8123124999999999,22.08,0.6528633385896683,0.0170023987666354,0.1458740234375,0.9721154089759722,-0.0001335881534032,0.0029331877994991,1590.0,,,,,,,0.0,0.0,,,,,,,,
