stage,group,env_tag,algo_tag,seed,run_name,env_id,config_source,pg_mode,alpha_gae,alpha_cf,cf_horizon,cf_subsample,cf_branch_budget,total_timesteps,wall_time_s,n_episodes,first_success_step,out_dir,finished_at,git_sha,final_success,n_success_episodes,success_auc,frames_to_50,frames_to_90,final_subgoal1,final_subgoal2,final_return_100,final_length_100,final_entropy,final_approx_kl,final_clipfrac,final_explained_variance,final_pg_loss,final_v_loss,final_sps,mean_cf_centering,final_cf_centering,mean_cf_mean_abs,final_cf_mean_abs,mean_cf_corr_gae,final_cf_corr_gae,mean_cf_frac_states,final_cf_frac_states,mean_cf_reward_coverage,final_cf_reward_coverage,mean_cf_terminated_within_horizon,final_cf_terminated_within_horizon,mean_cf_frac_states_any_reward,final_cf_frac_states_any_reward,mean_cf_n_cf_states,final_cf_n_cf_states
EXP1_UNLOCK,cf,unlock,ppo-cf,0,exp1_unlock_cf,MiniGrid-Unlock-v0,unlock_cf,cf_all_action,1.0,0.5,32,0.05,3.2,500000,2751.2,6884,3408,runs/exp1_unlock_cf/seed_0,2026-09-10T02:40:20+0800,c7f5f8c,1.0,6090,0.6624549457876457,3408.0,3408.0,1.0,1.0,0.9272812500000001,23.27,0.3607155838981271,0.0249611237323392,0.1392822265625,0.5778592739569232,-0.0069453518226509,0.0023739589960314,181.0,1.3416147768395126e-06,2.3479806259274483e-06,0.7009949058172156,0.8616396188735962,0.024837428549319866,-0.0695735588669776,0.0498046875,0.0498046875,0.3032499885199982,0.8025210084033614,0.3032499885199982,0.8025210084033614,0.5650916104146576,0.9803921568627452,102.0,102.0
EXP1_UNLOCK,cf,unlock,ppo-cf,1,exp1_unlock_cf,MiniGrid-Unlock-v0,unlock_cf,cf_all_action,1.0,0.5,32,0.05,3.2,500000,3240.0,1903,9856,runs/exp1_unlock_cf/seed_1,2026-09-10T02:48:29+0800,c7f5f8c,0.7,343,0.14269999645916748,477568.0,,0.76,0.7,0.4421875,168.9,1.225589845329523,0.0069715745139546,0.0885009765625,0.4093307912205937,-0.0079937180853448,0.0020478256483329,154.0,7.944161740822177e-07,1.3113021850585938e-06,0.49241387535680514,0.8421012759208679,0.0021716240353420267,0.2680102586746216,0.0498046875,0.0498046875,0.020101483216237278,0.1708683473389355,0.020101483216237278,0.1708683473389355,0.09771777563484406,0.5882352941176471,102.0,102.0
EXP1_UNLOCK,cf,unlock,ppo-cf,2,exp1_unlock_cf,MiniGrid-Unlock-v0,unlock_cf,cf_all_action,1.0,0.5,32,0.05,3.2,500000,2617.2,5901,1056,runs/exp1_unlock_cf/seed_2,2026-09-10T11:56:02+0800,c7f5f8c,1.0,5051,0.5901788286455865,1056.0,1056.0,1.0,1.0,0.93303125,21.43,0.3329374883323908,0.0130914406727526,0.0810546875,0.5886060146603973,-0.0042052143835462,0.001074684832929,191.0,1.1487633602256642e-06,3.4030526876449585e-06,0.6931021942100564,1.073227047920227,0.035357884658103585,0.292728990316391,0.0498046875,0.0498046875,0.2508839601414336,0.9026610644257704,0.2508839601414336,0.9026610644257704,0.49863387978142076,1.0,102.0,102.0
EXP1_UNLOCK,cf,unlock,ppo-cf,3,exp1_unlock_cf,MiniGrid-Unlock-v0,unlock_cf,cf_all_action,1.0,0.5,32,0.05,3.2,500000,2931.8,2058,24096,runs/exp1_unlock_cf/seed_3,2026-09-10T02:43:21+0800,c7f5f8c,0.82,551,0.20590967601465798,420368.0,,0.86,0.82,0.5165,148.96,1.0523778144270182,0.0081133533167303,0.1126708984375,0.604187296224895,-0.007966849807417,0.0030091251719568,170.0,8.229620940706719e-07,9.797513484954834e-07,0.4709974815916331,0.6944868564605713,0.013762208757173945,-0.093210369348526,0.0498046875,0.0498046875,0.030835284933645554,0.1813725490196078,0.030835284933645554,0.1813725490196078,0.13958534233365472,0.6176470588235294,102.0,102.0
EXP1_UNLOCK,cf,unlock,ppo-cf,4,exp1_unlock_cf,MiniGrid-Unlock-v0,unlock_cf,cf_all_action,1.0,0.5,32,0.05,3.2,500000,2952.1,1762,2752,runs/exp1_unlock_cf/seed_4,2026-09-10T02:43:41+0800,c7f5f8c,0.13,74,0.04271460372861193,2752.0,2752.0,0.42,0.13,0.066125,271.0,1.4476067423820496,0.0080588859691488,0.1217041015625,0.3594086954590477,-0.0093670426576863,0.0013826740268996,169.0,8.042521738418861e-07,9.231735020875933e-08,0.4514211279752313,0.0410834364593029,0.04006404901657169,0.0422879345715045,0.0498046875,0.0498046875,0.004821600771456104,0.0007002801120448,0.004821600771456104,0.0007002801120448,0.028768884603021527,0.0098039215686274,102.0,102.0
EXP1_UNLOCK,gae,unlock,ppo,0,exp1_unlock_gae,MiniGrid-Unlock-v0,unlock_cf,gae,1.0,0.5,32,0.05,3.2,500000,355.5,7453,3408,runs/exp1_unlock_gae/seed_0,2026-09-10T02:00:25+0800,c7f5f8c,1.0,6576,0.6020383861664487,3408.0,3408.0,1.0,1.0,0.92996875,22.41,0.377096401527524,0.2022747036317014,0.298828125,0.7289998092287993,-0.0259773365251021,0.0025217170696123,1426.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCK,gae,unlock,ppo,1,exp1_unlock_gae,MiniGrid-Unlock-v0,unlock_cf,gae,1.0,0.5,32,0.05,3.2,500000,388.2,2601,23856,runs/exp1_unlock_gae/seed_1,2026-09-10T02:00:57+0800,c7f5f8c,0.96,1352,0.39515383182351815,233504.0,462576.0,0.98,0.96,0.7889375,66.26,1.002045514062047,0.0088888423488242,0.1121826171875,0.5317285461347303,-0.0116775207570754,0.0036387713407748,1304.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCK,gae,unlock,ppo,2,exp1_unlock_gae,MiniGrid-Unlock-v0,unlock_cf,gae,1.0,0.5,32,0.05,3.2,500000,358.2,7150,1056,runs/exp1_unlock_gae/seed_2,2026-09-10T02:00:27+0800,c7f5f8c,1.0,6406,0.6620248469984672,1056.0,1056.0,1.0,1.0,0.93128125,21.99,0.2778289392590523,0.0226450594127527,0.0880126953125,0.5557123672132174,-0.0020844584214501,0.0015814356338523,1414.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCK,gae,unlock,ppo,3,exp1_unlock_gae,MiniGrid-Unlock-v0,unlock_cf,gae,1.0,0.5,32,0.05,3.2,500000,401.5,4791,12992,runs/exp1_unlock_gae/seed_3,2026-09-10T02:01:11+0800,c7f5f8c,1.0,3806,0.5473354314629438,176000.0,357840.0,1.0,1.0,0.9199062499999999,25.63,0.6799974180757999,0.0136550237875781,0.127197265625,0.5929691600118381,-0.0050373898702673,0.0022007699299138,1259.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCK,gae,unlock,ppo,4,exp1_unlock_gae,MiniGrid-Unlock-v0,unlock_cf,gae,1.0,0.5,32,0.05,3.2,500000,402.4,3688,8496,runs/exp1_unlock_gae/seed_4,2026-09-10T02:01:11+0800,c7f5f8c,0.91,2537,0.5130626398419971,224896.0,383632.0,0.91,0.91,0.8200625000000001,54.7,0.6236402615904808,0.0125683631194988,0.10693359375,0.8684189631440359,-0.0015903933090157,0.0035811407578876,1270.0,,,,,,,0.0,0.0,,,,,,,,
