stage,group,env_tag,algo_tag,seed,run_name,env_id,config_source,pg_mode,alpha_gae,alpha_cf,cf_horizon,cf_subsample,cf_branch_budget,total_timesteps,wall_time_s,n_episodes,first_success_step,out_dir,finished_at,git_sha,final_success,n_success_episodes,success_auc,frames_to_50,frames_to_90,final_subgoal1,final_subgoal2,final_return_100,final_length_100,final_entropy,final_approx_kl,final_clipfrac,final_explained_variance,final_pg_loss,final_v_loss,final_sps,mean_cf_centering,final_cf_centering,mean_cf_mean_abs,final_cf_mean_abs,mean_cf_corr_gae,final_cf_corr_gae,mean_cf_frac_states,final_cf_frac_states,mean_cf_reward_coverage,final_cf_reward_coverage,mean_cf_terminated_within_horizon,final_cf_terminated_within_horizon,mean_cf_frac_states_any_reward,final_cf_frac_states_any_reward,mean_cf_n_cf_states,final_cf_n_cf_states
EXP1_UNLOCKPICKUP,cf,unlockpickup,ppo-cf,0,exp1_unlockpickup_cf,MiniGrid-UnlockPickup-v0,unlockpickup_cf,cf_all_action,1.0,0.5,64,0.05,6.4,1500000,12458.4,31268,322224,runs/exp1_unlockpickup_cf/seed_0,2026-09-10T15:23:52+0800,c7f5f8c,1.0,28586,0.5505418666666667,658064.0,699200.0,1.0,1.0,0.93003125,22.39,0.8881066963076591,0.0115725504438159,0.123779296875,0.965682706232288,-0.0195553333905991,0.0003971800024373,120.0,1.5701681026322183e-06,4.349276423454285e-06,0.48452916387163225,0.934615194797516,0.06880268435769389,0.0490510277450084,0.0498046875,0.0498046875,0.4667634813488237,0.842436974789916,0.4667634813488237,0.842436974789916,0.49654451944712313,0.9019607843137256,102.0,102.0
EXP1_UNLOCKPICKUP,cf,unlockpickup,ppo-cf,1,exp1_unlockpickup_cf,MiniGrid-UnlockPickup-v0,unlockpickup_cf,cf_all_action,1.0,0.5,64,0.05,6.4,1500000,11872.4,33590,58128,runs/exp1_unlockpickup_cf/seed_1,2026-09-10T15:14:05+0800,c7f5f8c,1.0,31181,0.60489264,587328.0,623408.0,1.0,1.0,0.93721875,20.09,0.8172949869185686,0.0051054555806331,0.060546875,0.8576448709901638,-0.0003581476048566,0.0015939680984047,126.0,1.7459380153455948e-06,2.3205502657219768e-06,0.529882689459565,0.5331907272338867,0.04600825383966594,-0.0064189047552645,0.0498046875,0.0498046875,0.5136612021857924,0.9747899159663864,0.5136612021857924,0.9747899159663864,0.5485106610950392,0.9901960784313726,102.0,102.0
EXP1_UNLOCKPICKUP,cf,unlockpickup,ppo-cf,2,exp1_unlockpickup_cf,MiniGrid-UnlockPickup-v0,unlockpickup_cf,cf_all_action,1.0,0.5,64,0.05,6.4,1500000,10479.5,36191,66400,runs/exp1_unlockpickup_cf/seed_2,2026-09-10T14:50:52+0800,c7f5f8c,0.99,34095,0.6740386666666667,474528.0,505920.0,1.0,1.0,0.91584375,26.61,1.0686500407755375,0.0134965833194655,0.192626953125,0.990147288487466,-0.0252932833391241,0.0003299929680906,143.0,1.9022921485417408e-06,5.541369318962097e-06,0.5522369952475439,0.8616213202476501,0.07722340184962058,-0.0114248879253864,0.0498046875,0.0498046875,0.5774957523993205,0.8900560224089635,0.5774957523993205,0.8900560224089635,0.6112718311368263,0.9019607843137256,102.0,102.0
EXP1_UNLOCKPICKUP,cf,unlockpickup,ppo-cf,3,exp1_unlockpickup_cf,MiniGrid-UnlockPickup-v0,unlockpickup_cf,cf_all_action,1.0,0.5,64,0.05,6.4,1500000,10661.0,40060,59184,runs/exp1_unlockpickup_cf/seed_3,2026-09-10T14:53:53+0800,c7f5f8c,1.0,38167,0.7071036266666666,428496.0,469968.0,1.0,1.0,0.9309375000000002,22.1,0.9542042203247548,0.0161110547455791,0.1583251953125,0.9750489856667902,-0.0285755788208916,0.0003382103714102,140.0,2.1305657770684913e-06,4.969537258148193e-06,0.5792100837281167,1.2621008157730105,0.07057093367135774,0.1634952425956726,0.0498046875,0.0498046875,0.6161680519202217,0.8921568627450981,0.6161680519202217,0.8921568627450981,0.64756777027751,0.9215686274509804,102.0,102.0
EXP1_UNLOCKPICKUP,cf,unlockpickup,ppo-cf,4,exp1_unlockpickup_cf,MiniGrid-UnlockPickup-v0,unlockpickup_cf,cf_all_action,1.0,0.5,64,0.05,6.4,1500000,10042.7,40418,8704,runs/exp1_unlockpickup_cf/seed_4,2026-09-10T14:43:35+0800,c7f5f8c,1.0,38637,0.7401036863562457,377920.0,426928.0,1.0,1.0,0.9421875,18.5,0.5994008481502533,0.0026418913175803,0.040283203125,0.8754801195856666,-0.0095183949888451,0.00015112632218,149.0,2.0706342285868102e-06,9.054318070411682e-06,0.5527437686757312,1.8442928791046145,0.07772902992848706,-0.035876739770174,0.0498046875,0.0498046875,0.6339314414290306,0.9866946778711484,0.6339314414290306,0.9866946778711484,0.6696667738133505,1.0,102.0,102.0
EXP1_UNLOCKPICKUP,gae,unlockpickup,ppo,0,exp1_unlockpickup_gae,MiniGrid-UnlockPickup-v0,unlockpickup_cf,gae,1.0,0.5,64,0.05,6.4,1500000,1042.3,25831,49856,runs/exp1_unlockpickup_gae/seed_0,2026-09-10T12:13:34+0800,c7f5f8c,0.99,22774,0.4690221333333333,783088.0,844784.0,1.0,1.0,0.91090625,28.19,1.0872584618628025,0.0081267163659504,0.0994873046875,0.880102484529332,-0.0066164105446659,0.0016883079624676,1447.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCKPICKUP,gae,unlockpickup,ppo,1,exp1_unlockpickup_gae,MiniGrid-UnlockPickup-v0,unlockpickup_cf,gae,1.0,0.5,64,0.05,6.4,1500000,1304.5,27578,123728,runs/exp1_unlockpickup_gae/seed_1,2026-09-10T12:17:57+0800,c7f5f8c,0.99,24688,0.49352938666666674,749392.0,789024.0,1.0,1.0,0.9105937499999999,28.29,0.9965923875570296,0.0117064852302064,0.1534423828125,0.9709100794193802,-0.0285423026653006,0.0003799600835918,1156.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCKPICKUP,gae,unlockpickup,ppo,2,exp1_unlockpickup_gae,MiniGrid-UnlockPickup-v0,unlockpickup_cf,gae,1.0,0.5,64,0.05,6.4,1500000,1223.5,32951,34752,runs/exp1_unlockpickup_gae/seed_2,2026-09-10T12:16:36+0800,c7f5f8c,0.99,30656,0.6270824,556352.0,576032.0,1.0,1.0,0.90996875,28.49,1.1478294134140017,0.0131451714969443,0.12939453125,0.8637953990447419,-0.006686924418318,0.0025499292678432,1232.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCKPICKUP,gae,unlockpickup,ppo,3,exp1_unlockpickup_gae,MiniGrid-UnlockPickup-v0,unlockpickup_cf,gae,1.0,0.5,64,0.05,6.4,1500000,1221.0,42584,9088,runs/exp1_unlockpickup_gae/seed_3,2026-09-10T12:16:33+0800,c7f5f8c,1.0,41119,0.7965763548879014,285184.0,324528.0,1.0,1.0,0.93715625,20.11,0.8134794682264328,0.008533199013982,0.0780029296875,0.859577749841978,-0.0029739006131421,0.0030703306583745,1234.0,,,,,,,0.0,0.0,,,,,,,,
EXP1_UNLOCKPICKUP,gae,unlockpickup,ppo,4,exp1_unlockpickup_gae,MiniGrid-UnlockPickup-v0,unlockpickup_cf,gae,1.0,0.5,64,0.05,6.4,1500000,1167.2,28970,59168,runs/exp1_unlockpickup_gae/seed_4,2026-09-10T12:15:39+0800,c7f5f8c,0.99,26339,0.55497056,667696.0,711472.0,1.0,1.0,0.918625,25.72,0.9787678606808186,0.0111822845801725,0.1348876953125,0.9504576366200927,-0.0216685353661887,0.0005577962056122,1291.0,,,,,,,0.0,0.0,,,,,,,,
